member,title_link,id,title_name,creator
1_rengedead-,https://shikimori.one/animes/48556-takt-op-destiny,48556,takt op destiny,Elaeagnus
2_rengedead-,https://shikimori.one/animes/43299-wonder-egg-priority,43299,wonder egg priority,Elaeagnus
3_rengedead-,https://shikimori.one/animes/42923-sk,42923,sk,Elaeagnus
4_rengedead-,https://shikimori.one/animes/39247-kobayashi-san-chi-no-maid-dragon-s,39247,kobayashi san chi no maid dragon s,Elaeagnus
5_rengedead-,https://shikimori.one/animes/26055-jojo-no-kimyou-na-bouken-part-3-stardust-crusaders-2nd-season,26055,jojo no kimyou na bouken part 3 stardust crusaders 2nd season,Elaeagnus
6_rengedead-,https://shikimori.one/animes/x1519-black-lagoon-the-second-barrage,1519,black lagoon the second barrage,Elaeagnus
1_zorome666,_,,,Elaeagnus
2_zorome666,_,,,Elaeagnus
3_zorome666,_,,,Elaeagnus
4_zorome666,_,,,Elaeagnus
5_zorome666,_,,,Elaeagnus
6_zorome666,_,,,Elaeagnus
1_Saint_kill,_,,,Elaeagnus
2_Saint_kill,_,,,Elaeagnus
3_Saint_kill,_,,,Elaeagnus
4_Saint_kill,_,,,Elaeagnus
5_Saint_kill,_,,,Elaeagnus
6_Saint_kill,_,,,Elaeagnus
1_AhresSsio,_,,,Elaeagnus
2_AhresSsio,_,,,Elaeagnus
3_AhresSsio,_,,,Elaeagnus
4_AhresSsio,_,,,Elaeagnus
5_AhresSsio,_,,,Elaeagnus
6_AhresSsio,_,,,Elaeagnus
1_Hisame,_,,,Elaeagnus
2_Hisame,_,,,Elaeagnus
3_Hisame,_,,,Elaeagnus
4_Hisame,_,,,Elaeagnus
5_Hisame,_,,,Elaeagnus
6_Hisame,_,,,Elaeagnus
1_Elaeagnus,_,,,Elaeagnus
2_Elaeagnus,_,,,Elaeagnus
3_Elaeagnus,_,,,Elaeagnus
4_Elaeagnus,_,,,Elaeagnus
5_Elaeagnus,_,,,Elaeagnus
6_Elaeagnus,_,,,Elaeagnus
